163,蔣萬安,109年立法委員選舉,首次申報,1090108,宣傳支出,二零零八傳媒行銷股份有限公司,24318793,0.00,226800.00,播送、傳送或刊登宣傳廣告支出,金錢,臺北市信義區****,02-7*****,
9436,蔡英文,109年總統、副總統選舉,首次申報,1081226,宣傳支出,聯樂數位行銷股份有限公司,24499648,0.00,5000000.00,媒體廣告,金錢,臺北市內湖區****,,
16366,蔡英文,109年總統、副總統選舉,首次申報,1090113,宣傳支出,聯樂數位行銷股份有限公司,24499648,0.00,4000000.00,媒體廣告,金錢,臺北市內湖區****,,
