52,李婉鈺,111年新北市議員選舉,首次申報,1120301,返還捐贈支出,糖蛙線上娛樂股份有限公司,24966988,0.00,100000.00,,,,返還,金錢,台北市民生東****,,否,,,,,,,
212,江欣怡,111年基隆市議員選舉,首次申報,1111207,公共關係費用支出,一之鄉股份有限公司,14004175,0.00,15300.00,,,,聯誼交際費用,金錢,,,否,,,,,,,
216,江欣怡,111年基隆市議員選舉,首次申報,1111216,公共關係費用支出,一之鄉股份有限公司,14004175,0.00,3060.00,,,,聯誼交際費用,金錢,,,否,,,,,,,
