409,劉安祺,107年直轄市議員選舉,首次申報,1071217,返還支出,桃苗汽車股份有限公司,22817885,0.00,100000.00,返還,金錢,桃園市中壢區****,,
623,李傅中武,107年直轄市議員選舉,首次申報,1070925,租用宣傳車輛支出,和運租車,70364778,0.00,392000.00,租用宣傳車輛支出,金錢,臺北市中山區****,,
505,李傅中武,107年直轄市議員選舉,第一次賸餘,1080423,當選後與其公務有關之費用支出,大金空調,28715061,0.00,8700.00,雜項購置,金錢,,,
1053,李傅中武,107年直轄市議員選舉,第一次賸餘,1080925,當選後與其公務有關之費用支出,和運租車,70364778,0.00,55000.00,宣傳車租金,金錢,臺北市大安區****,,
1068,李傅中武,107年直轄市議員選舉,第一次賸餘,1081001,當選後與其公務有關之費用支出,和運租車,70364778,0.00,55000.00,宣傳車租金,金錢,臺北市大安區****,,
1143,李傅中武,107年直轄市議員選舉,第一次賸餘,1081101,當選後與其公務有關之費用支出,和運租車,70364778,0.00,55000.00,宣傳車租金,金錢,臺北市大安區****,,
1192,李傅中武,107年直轄市議員選舉,第一次賸餘,1081201,當選後與其公務有關之費用支出,和運租車,70364778,0.00,55000.00,宣傳車租金,金錢,臺北市大安區****,,
160,陳建銘,107年直轄市議員選舉,首次申報,1070629,租用宣傳車輛支出,和運租車,70364778,0.00,123333.00,租用宣傳車輛支出(含押金設算息),金錢,臺北市中山區****,,
166,陳建銘,107年直轄市議員選舉,首次申報,1070701,租用宣傳車輛支出,和運租車,70364778,0.00,123333.00,租用宣傳車輛支出(含押金設算息),金錢,臺北市中山區****,,
242,陳建銘,107年直轄市議員選舉,首次申報,1070801,租用宣傳車輛支出,和運租車,70364778,0.00,123333.00,租用宣傳車輛支出(含押金設算息),金錢,臺北市中山區****,,
329,陳建銘,107年直轄市議員選舉,首次申報,1070901,租用宣傳車輛支出,和運租車,70364778,0.00,123333.00,租用宣傳車輛支出(含押金設算息),金錢,臺北市中山區****,,
504,陳建銘,107年直轄市議員選舉,首次申報,1071001,租用宣傳車輛支出,和運租車,70364778,0.00,123333.00,租用宣傳車輛支出,金錢,臺北市中山區****,,
778,陳建銘,107年直轄市議員選舉,首次申報,1071101,租用宣傳車輛支出,和運租車,70364778,0.00,123333.00,租用宣傳車輛支出,金錢,臺北市中山區****,,
1138,陳建銘,107年直轄市議員選舉,首次申報,1071201,租用宣傳車輛支出,和運租車,70364778,0.00,433.00,租用宣傳車輛支出,金錢,,,
11,林騰煌,107年縣(市)議員選舉,首次申報,1070825,租用宣傳車輛支出,蘭揚汽車股份有限公司,22818548,0.00,10011.00,維修宣傳車輛支出,金錢,宜蘭縣五結鄉****,,
