集團,捐款,花費,集團代碼,相關公司
榮成寶隆,1700000,0,G1909,榮成/寶隆
台數科,1698000,7002723,G3136,台數科
關貿,1610000,0,G6183,關貿
華新精成科技,1600000,0,G1605,華新/精成科技/瀚宇博德/華東/和鑫/彩晶/華邦電/台灣精星/信昌電陶/新唐科技/九齊科技/華新科
台塑南亞塑膠,1580000,18468,G1301,台塑/南亞塑膠/台化/南電/麥寮汽電/台勝科/福懋興業/廣越/南亞科/台塑石化
冠軍,1560000,0,G1806,冠軍
宏齊科技久元,1500000,0,G6168,宏齊科技/久元
大慶證,1500000,0,G6021,大慶證
寶島科雙美,1500000,0,G5312,寶島科/雙美/金可-KY
岳豐,1500000,0,G6220,岳豐
世鎧,1450000,0,G2063,世鎧
冠德,1400000,56219,G2520,冠德
聯華實業聯強國際,1330000,30000,G1229,聯華實業/聯強國際/神達/神基科技/聯成/華孚科技/豐達科技
華建,1300000,0,G2530,華建
佳和實業中天生技,1200000,0,G1449,佳和實業/中天生技
大東紡織,1200000,48000,G1441,大東紡織
愛山林,1200000,0,G2540,愛山林
鑫永銓,1200000,0,G2114,鑫永銓
寶利徠,1200000,700000,G1813,寶利徠
葡萄王,1160000,2398,G1707,葡萄王
大將,1100000,0,G1453,大將
炎洲新洲全球,1100000,108235,G1715,炎洲/新洲全球
勝一化工,1100000,0,G1773,勝一化工
順天建設,1070000,0,G5525,順天建設
三聯科技,1068000,0,G5493,三聯科技
強盛染整,1060000,0,G1463,強盛染整
毅嘉科技,1000000,0,G2402,毅嘉科技
和碩景碩科技,1000000,4650,G4938,和碩/景碩科技/華擎/海華科技/鎧勝-KY/佳能
岱稜,1000000,0,G3303,岱稜
大同精英,1000000,36009,G2371,大同/精英/大同世界/綠能/尚志/華映/福華/新美齊/凌巨/尚化/麗清
光隆,1000000,536,G8916,光隆
宏致,1000000,0,G3605,宏致
寒舍餐旅,1000000,109021,G2739,寒舍餐旅
大立光,1000000,1000000,G3008,大立光
元翎,1000000,0,G4564,元翎
三發地產,1000000,0,G9946,三發地產
元晶,950000,950000,G6443,元晶
柏文,900000,0,G8462,柏文
皇鼎建設,900000,126197,G5533,皇鼎建設
大成長城,900000,52000,G1210,大成長城
東華,900000,300000,G1418,東華
特力,900000,34181,G2908,特力
國產惠普,900000,907331,G2504,國產/惠普/中保
裕隆汽車嘉裕,850000,460113,G2201,裕隆汽車/嘉裕/裕隆日產/江申工業/華晶科技/世紀民生/中華汽車/裕融企業
達麗,820000,0,G6177,達麗
耀登科技,800000,0,G3138,耀登科技
聯電旭德科技,800000,0,G2303,聯電/旭德科技/欣興電子/原相/同泰電子/聯致/盛群/智原/聯陽/矽統科技/聯詠
嘉彰,800000,0,G4942,嘉彰
力晶晶相光,800000,0,G5346,力晶/晶相光/力旺/力新國際
上曜永捷,755000,0,G1316,上曜/永捷
台灣福興,730000,0,G9924,台灣福興
美亞鋼管志信,700000,0,G2020,美亞鋼管/志信
金益鼎,700000,0,G8390,金益鼎
長興材料,700000,0,G1717,長興材料
奇美實業奇美材料,700000,0,G1763,奇美實業/奇美材料
合機公司洋華,700000,0,G1618,合機公司/洋華/世紀鋼構
金洲海洋,700000,20000,G4417,金洲海洋
坤悅,670000,0,G5206,坤悅
裕國冷凍,650000,0,G8905,裕國冷凍
環泰企業,630000,0,G4207,環泰企業
味王公司,626960,0,G1203,味王公司
東泥,600000,1086600,G1110,東泥
萬旭電業萬泰科,600000,0,G6134,萬旭電業/萬泰科
昇銳電子,600000,0,G3128,昇銳電子
台驊投控,600000,0,G2636,台驊投控
萬在,600000,0,G4543,萬在
廣隆光電安�眲鴔�,600000,0,G1537,廣隆光電/安�眲鴔�
中華電神腦,600000,458760,G2412,中華電/神腦/神準/資拓宏宇/精測
永記造漆,600000,0,G1726,永記造漆
台硝,500000,0,G1724,台硝
美桀,500000,500000,G5255,美桀
研華艾訊,500000,0,G2395,研華/艾訊
弘帆,500000,0,G8433,弘帆
昇貿科技,500000,200000,G3305,昇貿科技
茂順,500000,0,G9942,茂順
台半鼎翰,500000,0,G5425,台半/鼎翰
建大,500000,0,G2106,建大
金橋科技,500000,0,G6133,金橋科技
家登精密迅得,500000,0,G3680,家登精密/迅得
台紙,500000,0,G1902,台紙
弘裕,500000,0,G1474,弘裕
鉅橡企業,500000,0,G8074,鉅橡企業
至上電子,500000,0,G8112,至上電子
傳奇,500000,0,G4994,傳奇
環球水泥,450000,0,G1104,環球水泥
上緯投控,450000,50000,G4733,上緯投控
奇鋐科技,450000,400000,G3017,奇鋐科技
隆大營建,400000,200000,G5519,隆大營建
森寶,400000,0,G3489,森寶
中信金國喬石化,400000,810319,G2891,中信金/國喬石化/中租-KY/中租迪和
南六,400000,205800,G6504,南六
玉山金控,400000,0,G2884,玉山金控
華立長華電材,400000,0,G3010,華立/長華電材/華宏新技
和益化工,400000,0,G1709,和益化工
中鋼中宇,400000,69860,G2002,中鋼/中宇/鑫科材料/中鋼構/中聯資源/國碳科/中碳/中鴻
三豐建設,388000,0,G5514,三豐建設
綠意開發,360000,0,G2596,綠意開發
達工長佳,360000,0,G2535,達工/長佳
正隆大園汽電,350000,625500,G1904,正隆/大園汽電/山隆通運
中興電,350000,745,G1513,中興電
總太地產,350000,0,G3056,總太地產
耀億工業,330000,0,G4430,耀億工業
統一統一實業,330000,471432,G1216,統一/統一實業/統一證券/興能高/統一超/德記/台灣神隆/大統益
健策,300000,200000,G3653,健策
精湛,300000,0,G2070,精湛
通用矽酮,300000,0,G4730,通用矽酮
冠好科技,300000,0,G8354,冠好科技
海光企業,300000,0,G2038,海光企業
信音企業,300000,300000,G6126,信音企業
湧德電子,300000,0,G3689,湧德電子
國碩科技達邁,300000,0,G2406,國碩科技/達邁/碩禾
志豐電子,300000,0,G3206,志豐電子
霹靂,300000,0,G8450,霹靂
光寶科技昂寶-KY,300000,0,G2301,光寶科技/昂寶-KY/德微科技/力銘/朋程科技/閎暉/敦南科技/金居開發
永純化工,300000,0,G4711,永純化工
應華精密捷邦,300000,31329,G5392,應華精密/捷邦/上奇科技/能率網通
皇翔,300000,0,G2545,皇翔
翔宇,300000,300000,G6539,翔宇
康和證券,300000,0,G6016,康和證券
善德生技,300000,0,G4115,善德生技
三星科技,300000,300000,G5007,三星科技
友旺科技,300000,300000,G2444,友旺科技
宏偉,270000,0,G4565,宏偉
和泰汽車和潤企業,270000,1471142,G2207,和泰汽車/和潤企業
聚隆,260000,105292,G1466,聚隆
旺矽博磊科技,250000,0,G6223,旺矽/博磊科技
中電,250000,0,G1611,中電
晶宏,250000,0,G3141,晶宏
宏亞食品,250000,0,G1236,宏亞食品
立益紡織集盛,225000,0,G1443,立益紡織/集盛
天威保全,220000,0,G2518,天威保全
光洋科,220000,0,G1785,光洋科
三芳化工,220000,0,G1307,三芳化工
國精化學,200000,0,G4722,國精化學
華固建設,200000,0,G2548,華固建設
云辰基亞,200000,200000,G2390,云辰/基亞
東隆興業,200000,0,G4401,東隆興業
金雨,200000,0,G4503,金雨
�矬ㄟ篕�,200000,0,G8349,�矬ㄟ篕�
詮欣,200000,0,G3657,詮欣
聯合骨科,200000,0,G4129,聯合骨科
大成鋼大國鋼,200000,0,G2027,大成鋼/大國鋼
迅德興業,200000,0,G6292,迅德興業
福光,200000,0,G2043,福光
花仙子,200000,0,G1730,花仙子
統振,200000,0,G6170,統振
晟德順藥,200000,0,G4123,晟德/順藥
力泰建設,200000,0,G5520,力泰建設
巨路國際,200000,200000,G6192,巨路國際
聯華食品,200000,0,G1231,聯華食品
伍豐科技碩豐,200000,0,G8076,伍豐科技/碩豐
大億大億金茂,200000,0,G1521,大億/大億金茂/堤維西
泓瀚科技,200000,473750,G4741,泓瀚科技
福壽實業,174000,0,G1219,福壽實業
皇將,160000,0,G4744,皇將
嘉澤端子,160000,0,G3533,嘉澤端子
研勤研鼎,130000,0,G3632,研勤/研鼎
順發,125540,3488,G6154,順發
愛之味劍湖山,120000,56367,G1217,愛之味/劍湖山
億泰,120000,120000,G1616,億泰
帝聞,100000,16096,G8115,帝聞
磐儀,100000,0,G3594,磐儀
晟鈦,100000,0,G3229,晟鈦
達邦蛋白,100000,0,G6578,達邦蛋白
台灣嘉碩,100000,0,G3221,台灣嘉碩
地球工業,100000,0,G1324,地球工業
泰銘,100000,0,G9927,泰銘
南紡太子,100000,32481,G1440,南紡/太子/南帝化工
岱宇國際,100000,0,G1598,岱宇國際
燦坤實業燦星網通,100000,13043,G2430,燦坤實業/燦星網通/燦星旅
巨庭機械,100000,0,G1539,巨庭機械
台通,100000,100000,G8011,台通
金寶電子凱碩科技,100000,100000,G2312,金寶電子/凱碩科技/建榮工業/博智電子/台亞衛星/安勤科技/康舒/智易科技/仁寶電腦
晶華酒店,100000,30221,G2707,晶華酒店
得力實業,100000,0,G1464,得力實業
臺慶科,100000,0,G3357,臺慶科
統領,100000,0,G2910,統領
台全電機,100000,13760,G1550,台全電機
晉椿,100000,0,G2064,晉椿
維格餅家,100000,0,G2733,維格餅家
聚鼎,100000,0,G6224,聚鼎
大亞電線大展電線,100000,0,G1609,大亞電線/大展電線
鈊象電子,100000,0,G3293,鈊象電子
廣華-KY,76000,0,G1338,廣華-KY
先進光電,75000,0,G3362,先進光電
慶鴻機電,60000,0,G6608,慶鴻機電
永裕,60000,0,G1323,永裕
佳世達瑞鼎科技,50000,0,G2352,佳世達/瑞鼎科技/達方電子/明基材料/隆達/明基醫/達興材料/拍檔/達運/友達
偉全實業,50000,0,G1465,偉全實業
新至陞,50000,0,G3679,新至陞
益張,50000,0,G8342,益張
捷音特,50000,0,G5294,捷音特
天揚,50000,0,G5345,天揚
萬國通路,50000,50000,G9950,萬國通路
富堡,50000,0,G8929,富堡
嘉鋼,50000,50000,G2067,嘉鋼
三晃,50000,0,G1721,三晃
高林實杏昌生技,50000,0,G2906,高林實/杏昌生技
友銓電子,40000,0,G5321,友銓電子
星通,40000,40000,G3025,星通
榮星電線,36000,0,G1617,榮星電線
佳醫曜亞國際,30000,0,G4104,佳醫/曜亞國際/久裕
名軒,30000,0,G1442,名軒
同開科技,24000,24000,G3018,同開科技
合騏工業,20000,0,G8937,合騏工業
昶昕,10000,0,G8438,昶昕
振維電子,10000,10000,G3520,振維電子
東台東捷,10000,10000,G4526,東台/東捷
富裔,10000,10000,G6264,富裔
永豐餘華紙,10000,1333482,G1907,永豐餘/華紙/太景*-KY/永豐金控/元太科技/先豐通訊
味全公司,10000,90000,G1201,味全公司
福盈科,10000,0,G1787,福盈科
歐買尬,0,2438,G3687,歐買尬
第一金控,0,15,G2892,第一金控
創業家,0,22963,G8477,創業家
兆豐金,0,250110,G2886,兆豐金
大豐電,0,99540,G6184,大豐電
網路家庭商店街,0,1335952,G8044,網路家庭/商店街
京晨科,0,20,G6419,京晨科
志嘉建設,0,120,G5529,志嘉建設
亞都麗緻,0,7205,G5703,亞都麗緻
時報文化,0,390,G8923,時報文化
必應,0,195000,G6625,必應
華視,0,400000,G8360,華視
誠品生活,0,35114,G8958,誠品生活
數字,0,3700,G5287,數字
華泰銀行,0,13426,G5827,華泰銀行
智冠中華網龍,0,1529021,G5478,智冠/中華網龍
國建國泰金,0,445258,G2501,國建/國泰金/國泰產險
國票金控旺旺保險,0,6447625,G9151,國票金控/旺旺保險/中視
樂陞科技樂美館,0,3460,G3662,樂陞科技/樂美館
杏一,0,2626,G4175,杏一
新零售,0,8955,G3085,新零售
聯德電子,0,2079,G3308,聯德電子
世新有線,0,100000,G8974,世新有線
錢櫃企業好樂迪,0,20162754,G8359,錢櫃企業/好樂迪/洄瀾有線
威盛電子宏達電,0,7580,G2388,威盛電子/宏達電/全達/建達國際
新天地,0,34150,G8940,新天地
富邦金台灣大,0,1947497,G2881,富邦金/台灣大/富邦媒
華碩晶達光電,0,2720,G2357,華碩/晶達光電/醫揚/研揚科技/祥碩科技/杰力
白紗科技,0,1626668,G8401,白紗科技
聯維有線,0,500,G8976,聯維有線
東森,0,24619905,G2614,東森
佳龍,0,4267790,G9955,佳龍
晶技台興,0,4758,G3042,晶技/台興
臺灣企銀,0,1370,G2834,臺灣企銀
北基,0,892390,G8927,北基
三商宏遠證券,0,149429,G2905,三商/宏遠證券/三商電腦/旭富製藥
泰山企業,0,290495,G1218,泰山企業
長榮海運榮運,0,234652,G2603,長榮海運/榮運/長榮國際/長榮航空
華航,0,104172,G2610,華航
寶成工業冠西電,0,24575,G9904,寶成工業/冠西電/南寶
金融大樓,0,57873,G2899,金融大樓
台視,0,600000,G8329,台視
東元電機東訊,0,385,G1504,東元電機/東訊/安心/菱光科技/聯昌電子/東友科技/世正開發/宅配通/方土霖
台肥,0,1000,G1722,台肥
中環得利影視,0,72000,G2323,中環/得利影視/本盟光電
台苯,0,300,G1310,台苯
興農,0,209280,G1712,興農
鴻海鴻準,0,753523,G2317,鴻海/鴻準/沅聖/京鼎/天鈺/正達國際/建漢科技/訊芯-KY/GIS-KY/乙盛-KY/亞太電信/榮創/樺漢科技/臻鼎-KY/群創光電/廣宇/台揚科技
和成,0,9750,G1810,和成
秋雨,0,42000,G9929,秋雨
龍巖,0,3100,G8378,龍巖
寬宏藝術,0,167500,G6596,寬宏藝術
台船公司,0,343061,G2208,台船公司
雙子星三冠王,0,1277815,G8946,雙子星/三冠王
板信銀行,0,90,G5862,板信銀行
海灣,0,44278,G3252,海灣
元大金元大期貨,0,30,G2885,元大金/元大期貨
聯邦銀行,0,260,G2838,聯邦銀行
三信商銀,0,2703040,G5830,三信商銀
陽信銀行,0,30,G2895,陽信銀行
欣隆天然欣天然,0,5347,G8370,欣隆天然/欣天然/欣湖公司/欣泰
欣高,0,3140,G9931,欣高
智邦科技,0,6150,G2345,智邦科技
,0,7206928,G3505,
台灣土地,0,11019,G2841,台灣土地
大車隊,0,1158460,G2640,大車隊
一零四,0,90980,G3130,一零四
宏正科信驊科技,0,10081,G6277,宏正科/信驊科技
華南金,0,10383,G2880,華南金
正崴維熹科技,0,1680,G2392,正崴/維熹科技/光燿科/崴強科技/勁永國際
建舜電子,0,1028014,G3322,建舜電子
中友百貨,0,400,G5901,中友百貨
