集團,捐款,花費,集團代碼,相關公司
亞泥遠傳,55230000,2589847,G1102,亞泥/遠傳/遠東商銀/遠百/亞東證券/遠東新/遠鼎投資/裕民/宏遠/東聯
台泥中橡,11810000,405000,G1101,台泥/中橡
興富發,11560000,0,G2542,興富發
士電新竹物流,8300000,6046472,G1503,士電/新竹物流/國賓/士開
三陽工業,7000000,2000000,G2206,三陽工業
燁輝燁興公司,7000000,48762,G2023,燁輝/燁興公司
燿華富喬工業,6200000,0,G2367,燿華/富喬工業/愛地雅
佳穎精密亞昕國際,6000000,5058,G3310,佳穎精密/亞昕國際
中纖台中銀行,5800000,777040,G1718,中纖/台中銀行/磐亞
長春石油長春人造,5000000,0,G1764,長春石油/長春人造/大連化工
建新國際,4750000,0,G8367,建新國際
潤泰全球日友,4700000,1797325,G2915,潤泰全球/日友/浩鼎/中裕新藥/潤泰精材/南山人壽/潤弘精密/潤泰創新
新纖台新金控,4400000,578251,G1409,新纖/台新金控/新光金/新光保全/大台北/新海瓦斯/達輝光電/友輝/元富證券/新紡
南港輪胎,4310000,0,G2334,南港輪胎
和大工業高鋒工業,4300000,0,G1536,和大工業/高鋒工業
台灣櫻花,4010000,0,G9911,台灣櫻花
國巨凱美,4000000,0,G2327,國巨/凱美/智寶/奇力新
國揚實業漢來美食,3500000,800000,G2505,國揚實業/漢來美食
協益電子台名,3350000,0,G5356,協益電子/台名
富味鄉,3300000,1300000,G1260,富味鄉
中石化中工,3260000,198393,G1314,中石化/中工
日勝,3120000,67324,G2547,日勝
京城京城銀行,3100000,421168,G2524,京城/京城銀行
勤美,3000000,1100340,G1532,勤美
信義房屋,3000000,50000,G9940,信義房屋
廣豐,3000000,6600,G1416,廣豐
富旺國際,2900000,0,G6219,富旺國際
長虹,2850000,30000,G5534,長虹
遊戲橘子,2700000,2271600,G6180,遊戲橘子
遠雄建設遠雄港,2650000,101754,G5522,遠雄建設/遠雄港
力麗力麗店,2520000,0,G1444,力麗/力麗店/山林水/力麒/力鵬
全坤建,2500000,0,G2509,全坤建
新東陽昇陽建設,2500000,0,G1242,新東陽/昇陽建設
大樹醫藥,2450000,0,G6469,大樹醫藥
車王電,2400000,0,G1533,車王電
幸福水泥,2300000,100000,G1108,幸福水泥
新光鋼,2200000,0,G2031,新光鋼
聲寶瑞智精密,2100000,2500,G1604,聲寶/瑞智精密
台灣農林,2100000,0,G2913,台灣農林
藍天群光電子,2000000,1000000,G2362,藍天/群光電子/新鉅科/群光電能
黑松,2000000,1211513,G1234,黑松
上銀科技,2000000,0,G2049,上銀科技
中鼎工程新鼎系統,2000000,500000,G9933,中鼎工程/新鼎系統/崑鼎投控
台灣百和百和興業-KY,2000000,0,G9938,台灣百和/百和興業-KY
禾聯碩,2000000,18300,G5283,禾聯碩
國鼎生技,1800000,0,G4132,國鼎生技
信大水泥,1700000,0,G1109,信大水泥
