集團,捐款,花費,集團代碼,相關公司
亞泥遠傳,68000000,8767844,G1102,亞泥/遠傳/遠東商銀/遠百/亞東證券/遠東新/遠鼎投資/裕民/宏遠/東聯
興富發,10600000,0,G2542,興富發
士電新竹物流,6400000,81144,G1503,士電/新竹物流/國賓/士開
燿華富喬工業,6100000,0,G2367,燿華/富喬工業/愛地雅
南港輪胎,6000000,0,G2334,南港輪胎
所羅門,5000000,0,G2359,所羅門
台灣櫻花,4000000,0,G9911,台灣櫻花
建新國際,4000000,200000,G8367,建新國際
佳穎精密亞昕國際,3600000,0,G3310,佳穎精密/亞昕國際
新光鋼,3600000,0,G2031,新光鋼
中纖台中銀行,3400000,197590,G1718,中纖/台中銀行/磐亞
中鋼中宇,3100020,20,G2002,中鋼/中宇/鑫科材料/中鋼構/中聯資源/國碳科/中碳/中鴻
力麗力麗店,3100000,0,G1444,力麗/力麗店/山林水/力麒/力鵬
永記造漆,3000000,0,G1726,永記造漆
遊戲橘子,2700000,1135000,G6180,遊戲橘子
達麗,2700000,0,G6177,達麗
東森,2500000,5585345,G2614,東森
日月光鼎固-KY,2500000,1000000,G2311,日月光/鼎固-KY/宏璟
愛之味劍湖山,2500000,41593,G1217,愛之味/劍湖山
家登精密迅得,2500000,0,G3680,家登精密/迅得
日勝,2400000,59154,G2547,日勝
國揚實業漢來美食,2400000,700000,G2505,國揚實業/漢來美食
潤泰全球日友,2400000,648878,G2915,潤泰全球/日友/浩鼎/中裕新藥/潤泰精材/南山人壽/潤弘精密/潤泰創新
冠軍,2270000,0,G1806,冠軍
新纖台新金控,2100000,1045150,G1409,新纖/台新金控/新光金/新光保全/大台北/新海瓦斯/達輝光電/友輝/元富證券/新紡
台數科,2060000,5299185,G3136,台數科
金益鼎,2050000,600000,G8390,金益鼎
旺宏,2000000,0,G2337,旺宏
鴻海鴻準,2000000,1269784,G2317,鴻海/鴻準/沅聖/京鼎/天鈺/正達國際/建漢科技/訊芯-KY/GIS-KY/乙盛-KY/亞太電信/榮創/樺漢科技/臻鼎-KY/群創光電/廣宇/台揚科技
楠梓電,2000000,0,G2316,楠梓電
富旺國際,1920000,0,G6219,富旺國際
寒舍餐旅,1750000,110446,G2739,寒舍餐旅
三陽工業,1700000,0,G2206,三陽工業
中鼎工程新鼎系統,1700000,0,G9933,中鼎工程/新鼎系統/崑鼎投控
京城京城銀行,1700000,28653,G2524,京城/京城銀行
全坤建,1700000,0,G2509,全坤建
長春石油長春人造,1700000,0,G1764,長春石油/長春人造/大連化工
台灣農林,1680000,68000,G2913,台灣農林
和大工業高鋒工業,1600000,0,G1536,和大工業/高鋒工業
台灣福興,1600000,0,G9924,台灣福興
富味鄉,1500000,0,G1260,富味鄉
金寶電子凱碩科技,1500000,0,G2312,金寶電子/凱碩科技/建榮工業/博智電子/台亞衛星/安勤科技/康舒/智易科技/仁寶電腦
三發地產,1500000,0,G9946,三發地產
台塑南亞塑膠,1500000,1300,G1301,台塑/南亞塑膠/台化/南電/麥寮汽電/台勝科/福懋興業/廣越/南亞科/台塑石化
車王電,1500000,0,G1533,車王電
中石化中工,1480000,4013,G1314,中石化/中工
伍豐科技碩豐,1450000,0,G8076,伍豐科技/碩豐
佳世達瑞鼎科技,1400000,0,G2352,佳世達/瑞鼎科技/達方電子/明基材料/隆達/明基醫/達興材料/拍檔/達運/友達
台灣百和百和興業-KY,1400000,0,G9938,台灣百和/百和興業-KY
高林實杏昌生技,1200000,0,G2906,高林實/杏昌生技
環泰企業,1200000,0,G4207,環泰企業
