集團,捐款,花費,集團代碼,相關公司
南六,1680900,4899617,G6504,南六
環泰企業,1600000,0,G4207,環泰企業
柏文,1600000,0,G8462,柏文
幸福水泥,1600000,0,G1108,幸福水泥
勝一化工,1550000,0,G1773,勝一化工
合機公司洋華,1500000,300000,G1618,合機公司/洋華/世紀鋼構
永記造漆,1400000,900000,G1726,永記造漆
禾聯碩,1400000,5700,G5283,禾聯碩
基泰建設,1400000,0,G2538,基泰建設
金寶電子凱碩科技,1300000,84000,G2312,金寶電子/凱碩科技/建榮工業/博智電子/台亞衛星/安勤科技/康舒/智易科技/仁寶電腦
金益鼎,1300000,0,G8390,金益鼎
台塑南亞塑膠,1300000,21367,G1301,台塑/南亞塑膠/台化/南電/麥寮汽電/台勝科/福懋興業/廣越/南亞科/台塑石化
皇將,1260000,0,G4744,皇將
廣隆光電安�眲鴔�,1200000,0,G1537,廣隆光電/安�眲鴔�
新東陽昇陽建設,1200000,0,G1242,新東陽/昇陽建設
泰銘,1200000,0,G9927,泰銘
玉山金控,1200000,0,G2884,玉山金控
家登精密迅得,1150000,0,G3680,家登精密/迅得
皇鼎建設,1100000,100000,G5533,皇鼎建設
昇銳電子,1100000,0,G3128,昇銳電子
艾華電子,1000000,0,G6204,艾華電子
國碩科技達邁,1000000,1000000,G2406,國碩科技/達邁/碩禾
台星科,1000000,0,G3265,台星科
善德生技,1000000,246830,G4115,善德生技
國巨凱美,1000000,0,G2327,國巨/凱美/智寶/奇力新
矽格,1000000,0,G6257,矽格
寶島科雙美,1000000,0,G5312,寶島科/雙美/金可-KY
美磊聯茂,1000000,0,G3068,美磊/聯茂
葡萄王,994000,0,G1707,葡萄王
愛山林,939000,0,G2540,愛山林
裕隆汽車嘉裕,920000,1621130,G2201,裕隆汽車/嘉裕/裕隆日產/江申工業/華晶科技/世紀民生/中華汽車/裕融企業
中石化中工,900000,0,G1314,中石化/中工
大將,900000,0,G1453,大將
強盛染整,900000,0,G1463,強盛染整
和碩景碩科技,800000,0,G4938,和碩/景碩科技/華擎/海華科技/鎧勝-KY/佳能
伍豐科技碩豐,800000,0,G8076,伍豐科技/碩豐
岳豐,800000,0,G6220,岳豐
大東紡織,800000,0,G1441,大東紡織
千興,700030,0,G2025,千興
三豐建設,700000,0,G5514,三豐建設
環球水泥,700000,0,G1104,環球水泥
長興材料,700000,0,G1717,長興材料
順天建設,700000,0,G5525,順天建設
得力實業,700000,0,G1464,得力實業
茂順,700000,0,G9942,茂順
福懋油,700000,0,G1225,福懋油
光洋科,680000,500000,G1785,光洋科
世鎧,650000,0,G2063,世鎧
寶利徠,640000,0,G1813,寶利徠
味王公司,600000,0,G1203,味王公司
中鋼中宇,600000,100,G2002,中鋼/中宇/鑫科材料/中鋼構/中聯資源/國碳科/中碳/中鴻
皇翔,600000,0,G2545,皇翔
中鼎工程新鼎系統,600000,600000,G9933,中鼎工程/新鼎系統/崑鼎投控
統振,600000,0,G6170,統振
正隆大園汽電,600000,642300,G1904,正隆/大園汽電/山隆通運
建大,600000,0,G2106,建大
台灣福興,600000,0,G9924,台灣福興
東泥,600000,98943,G1110,東泥
萬旭電業萬泰科,600000,0,G6134,萬旭電業/萬泰科
力晶晶相光,600000,0,G5346,力晶/晶相光/力旺/力新國際
和泰汽車和潤企業,590000,1225384,G2207,和泰汽車/和潤企業
岱稜,510000,0,G3303,岱稜
高林實杏昌生技,500000,0,G2906,高林實/杏昌生技
益航大洋-KY,500000,0,G2601,益航/大洋-KY
高野,500000,0,G2736,高野
環科,500000,0,G2413,環科
鴻海鴻準,500000,823582,G2317,鴻海/鴻準/沅聖/京鼎/天鈺/正達國際/建漢科技/訊芯-KY/GIS-KY/乙盛-KY/亞太電信/榮創/樺漢科技/臻鼎-KY/群創光電/廣宇/台揚科技
光頡,500000,0,G3624,光頡
霖宏科技,500000,0,G5464,霖宏科技
毅嘉科技,500000,0,G2402,毅嘉科技
兆利,500000,0,G3548,兆利
裕國冷凍,500000,0,G8905,裕國冷凍
龍邦國際,500000,0,G2514,龍邦國際
隆大營建,500000,100000,G5519,隆大營建
欣巴巴,500000,0,G9906,欣巴巴
台蠟,500000,500000,G1742,台蠟
至上電子,500000,0,G8112,至上電子
奇美實業奇美材料,500000,0,G1763,奇美實業/奇美材料
橋椿,500000,0,G2062,橋椿
天鉞電,500000,0,G5251,天鉞電
大成長城,500000,0,G1210,大成長城
正崴維熹科技,500000,52400,G2392,正崴/維熹科技/光燿科/崴強科技/勁永國際
泓瀚科技,450000,422812,G4741,泓瀚科技
中興電,400000,625,G1513,中興電
宏全,400000,0,G9939,宏全
特力,400000,10940,G2908,特力
和勤精機,350000,0,G1586,和勤精機
順發,350000,458,G6154,順發
冠軍,340320,0,G1806,冠軍
傳奇,300000,0,G4994,傳奇
協易機械,300000,0,G4533,協易機械
協益電子台名,300000,0,G5356,協益電子/台名
南僑投控,300000,0,G1702,南僑投控
大億大億金茂,300000,0,G1521,大億/大億金茂/堤維西
台榮,300000,0,G1220,台榮
雷科,300000,0,G6207,雷科
政伸,300000,0,G8481,政伸
和益化工,300000,0,G1709,和益化工
永純化工,300000,0,G4711,永純化工
宏偉,300000,0,G4565,宏偉
信邦電子,300000,0,G3023,信邦電子
信音企業,300000,0,G6126,信音企業
統領,300000,0,G2910,統領
國精化學,300000,0,G4722,國精化學
上福全球,300000,0,G6128,上福全球
華固建設,300000,300000,G2548,華固建設
耀億工業,280000,0,G4430,耀億工業
森寶,280000,80000,G3489,森寶
鉅明,280000,0,G8928,鉅明
聚隆,260000,875276,G1466,聚隆
台苯,200000,0,G1310,台苯
力泰建設,200000,0,G5520,力泰建設
車王電,200000,0,G1533,車王電
宏亞食品,200000,0,G1236,宏亞食品
聿新生技,200000,0,G4161,聿新生技
寶齡富錦,200000,200000,G1760,寶齡富錦
官田鋼,200000,0,G2017,官田鋼
北基,200000,290481,G8927,北基
豪展醫療,200000,0,G4735,豪展醫療
華立長華電材,200000,0,G3010,華立/長華電材/華宏新技
日勝,200000,70527,G2547,日勝
海光企業,200000,0,G2038,海光企業
金利精密,200000,0,G6606,金利精密
精湛,200000,0,G2070,精湛
能緹,200000,0,G3512,能緹
巨大機械,200000,0,G9921,巨大機械
聯電旭德科技,200000,0,G2303,聯電/旭德科技/欣興電子/原相/同泰電子/聯致/盛群/智原/聯陽/矽統科技/聯詠
岱宇國際,200000,0,G1598,岱宇國際
中信金國喬石化,200000,268580,G2891,中信金/國喬石化/中租-KY/中租迪和
技嘉,180000,0,G2376,技嘉
應華精密捷邦,160000,40305,G5392,應華精密/捷邦/上奇科技/能率網通
東浦精密,150000,0,G3290,東浦精密
精技電腦精聯,150000,0,G2414,精技電腦/精聯
友華友霖,130000,0,G4120,友華/友霖
愛之味劍湖山,120000,172809,G1217,愛之味/劍湖山
天揚,120000,20000,G5345,天揚
致伸時碩工業,110000,0,G4915,致伸/時碩工業
永豐餘華紙,102600,621425,G1907,永豐餘/華紙/太景*-KY/永豐金控/元太科技/先豐通訊
炎洲新洲全球,100000,1080,G1715,炎洲/新洲全球
大車隊,100000,1145540,G2640,大車隊
錩泰,100000,0,G1541,錩泰
通用矽酮,100000,0,G4730,通用矽酮
嘉威光電,100000,0,G3557,嘉威光電
新至陞,100000,0,G3679,新至陞
信昌機械,100000,0,G1548,信昌機械
新復興,100000,0,G4909,新復興
海悅,100000,0,G2348,海悅
萬在,100000,0,G4543,萬在
達新工業,100000,0,G1315,達新工業
天威保全,100000,0,G2518,天威保全
驊訊,100000,0,G6237,驊訊
可成科技光鋐,100000,0,G2474,可成科技/光鋐/鑫禾
統一統一實業,100000,341585,G1216,統一/統一實業/統一證券/興能高/統一超/德記/台灣神隆/大統益
地球工業,100000,0,G1324,地球工業
立益紡織集盛,100000,0,G1443,立益紡織/集盛
美桀,100000,0,G5255,美桀
信錦,100000,0,G1582,信錦
廣華-KY,100000,0,G1338,廣華-KY
樂陞科技樂美館,100000,118360,G3662,樂陞科技/樂美館
東和鋼鐵,100000,100000,G2006,東和鋼鐵
宏泰,100000,0,G1612,宏泰
翔名科技,100000,0,G8091,翔名科技
鐿鈦科技,100000,0,G4163,鐿鈦科技
台通,100000,0,G8011,台通
德麥,99000,0,G1264,德麥
福壽實業,90000,4800,G1219,福壽實業
名軒,80000,0,G1442,名軒
瑞昱弘憶國際,66000,0,G2379,瑞昱/弘憶國際
德淵企業,66000,0,G4720,德淵企業
寶聯通,60000,0,G5450,寶聯通
擎邦國際彬台科技,60000,0,G6122,擎邦國際/彬台科技
天良生技,60000,60000,G4127,天良生技
巨庭機械,50000,0,G1539,巨庭機械
綠意開發,50000,0,G2596,綠意開發
鈞寶立弘生化,50000,0,G6155,鈞寶/立弘生化
慶鴻機電,50000,0,G6608,慶鴻機電
台灣嘉碩,50000,0,G3221,台灣嘉碩
生達化學,50000,55827,G1720,生達化學
詠勝昌,50000,0,G2245,詠勝昌
台全電機,50000,0,G1550,台全電機
奇鋐科技,50000,0,G3017,奇鋐科技
偉全實業,50000,0,G1465,偉全實業
晟鈦,40000,0,G3229,晟鈦
台灣土地,40000,0,G2841,台灣土地
太陽光,30000,20000,G3566,太陽光
富強鑫,30000,0,G6603,富強鑫
信義房屋,22000,0,G9940,信義房屋
瀧澤科,20000,0,G6609,瀧澤科
松上電子,13660,13660,G6156,松上電子
威盛電子宏達電,2,1240742,G2388,威盛電子/宏達電/全達/建達國際
網路家庭商店街,0,1493812,G8044,網路家庭/商店街
歐買尬,0,183507,G3687,歐買尬
美食-KY,0,342,G2723,美食-KY
第一金控,0,200450,G2892,第一金控
創業家,0,3224,G8477,創業家
世新有線,0,100000,G8974,世新有線
大豐電,0,4960,G6184,大豐電
誠品生活,0,13124,G8958,誠品生活
時報文化,0,308,G8923,時報文化
國票金控旺旺保險,0,7994340,G9151,國票金控/旺旺保險/中視
蒙恬,0,3990,G5211,蒙恬
豐謙,0,877420,G5523,豐謙
華泰銀行,0,4957,G5827,華泰銀行
華研音樂,0,73500,G8446,華研音樂
國建國泰金,0,368301,G2501,國建/國泰金/國泰產險
易發,0,796200,G6425,易發
研勤研鼎,0,240,G3632,研勤/研鼎
誠創科技,0,149860,G3536,誠創科技
帝聞,0,98083,G8115,帝聞
華友聯,0,540000,G1436,華友聯
佳和實業中天生技,0,8481,G1449,佳和實業/中天生技
錢櫃企業好樂迪,0,14565836,G8359,錢櫃企業/好樂迪/洄瀾有線
新天地,0,20000,G8940,新天地
開發金,0,60,G2883,開發金
聚和,0,595000,G6509,聚和
白紗科技,0,1326965,G8401,白紗科技
富邦金台灣大,0,4887858,G2881,富邦金/台灣大/富邦媒
鈺通營造,0,47900,G2579,鈺通營造
光隆,0,3556,G8916,光隆
金雨,0,24501,G4503,金雨
聯維有線,0,5160,G8976,聯維有線
寒舍餐旅,0,34275,G2739,寒舍餐旅
晶華酒店,0,65241,G2707,晶華酒店
佳龍,0,11998,G9955,佳龍
晶技台興,0,31010,G3042,晶技/台興
燦坤實業燦星網通,0,895,G2430,燦坤實業/燦星網通/燦星旅
臺灣企銀,0,1715,G2834,臺灣企銀
東森,0,40899458,G2614,東森
三商宏遠證券,0,93805,G2905,三商/宏遠證券/三商電腦/旭富製藥
金融大樓,0,118240,G2899,金融大樓
中華電神腦,0,1683959,G2412,中華電/神腦/神準/資拓宏宇/精測
華航,0,37744,G2610,華航
台視,0,1300000,G8329,台視
寶成工業冠西電,0,15716,G9904,寶成工業/冠西電/南寶
亞洲航空,0,1000,G2630,亞洲航空
亞泥遠傳,0,589814,G1102,亞泥/遠傳/遠東商銀/遠百/亞東證券/遠東新/遠鼎投資/裕民/宏遠/東聯
南紡太子,0,924,G1440,南紡/太子/南帝化工
味全公司,0,120000,G1201,味全公司
儒鴻,0,649176,G1476,儒鴻
南仁湖海景,0,1200,G5905,南仁湖/海景
臺鹽,0,90450,G1737,臺鹽
全家便利,0,150,G5903,全家便利
長榮海運榮運,0,29538,G2603,長榮海運/榮運/長榮國際/長榮航空
興采實業,0,3947070,G4433,興采實業
泰山企業,0,90015,G1218,泰山企業
高銀,0,1530,G2836,高銀
美亞鋼管志信,0,44255,G2020,美亞鋼管/志信
台船公司,0,135572,G2208,台船公司
龍巖,0,12600,G8378,龍巖
遠雄建設遠雄港,0,103070,G5522,遠雄建設/遠雄港
板信銀行,0,235,G5862,板信銀行
雙子星三冠王,0,2822140,G8946,雙子星/三冠王
一零四,0,78780,G3130,一零四
欣高,0,898,G9931,欣高
欣隆天然欣天然,0,3820,G8370,欣隆天然/欣天然/欣湖公司/欣泰
,0,2839983,G3505,
國眾電腦大眾投控,0,52469,G2319,國眾電腦/大眾投控
黑松,0,77479,G1234,黑松
宏��優燈,0,35501,G2353,宏��/優燈/協禧電機
華南金,0,75747,G2880,華南金
建舜電子,0,710085,G3322,建舜電子
中航偉聯,0,141680,G2612,中航/偉聯
富堡,0,34923,G8929,富堡
中友百貨,0,470,G5901,中友百貨
