集團,捐款,花費,集團代碼,相關公司
士電新竹物流,9900000,180,G1503,士電/新竹物流/國賓/士開
冠德,6600000,86139,G2520,冠德
新纖台新金控,6550000,1235548,G1409,新纖/台新金控/新光金/新光保全/大台北/新海瓦斯/達輝光電/友輝/元富證券/新紡
中纖台中銀行,6400000,20000,G1718,中纖/台中銀行/磐亞
燿華富喬工業,5200000,900000,G2367,燿華/富喬工業/愛地雅
建新國際,5100000,0,G8367,建新國際
燁輝燁興公司,4900000,35134,G2023,燁輝/燁興公司
佳穎精密亞昕國際,4900000,204793,G3310,佳穎精密/亞昕國際
聯華實業聯強國際,4650000,388,G1229,聯華實業/聯強國際/神達/神基科技/聯成/華孚科技/豐達科技
興富發,4500000,0,G2542,興富發
南港輪胎,4000000,0,G2334,南港輪胎
遊戲橘子,3900000,1675000,G6180,遊戲橘子
聲寶瑞智精密,3500000,200000,G1604,聲寶/瑞智精密
三陽工業,3500000,1032081,G2206,三陽工業
台數科,3480000,13555817,G3136,台數科
大樹醫藥,3450000,0,G6469,大樹醫藥
長春石油長春人造,3450000,0,G1764,長春石油/長春人造/大連化工
長虹,3420000,0,G5534,長虹
潤泰全球日友,3200000,814519,G2915,潤泰全球/日友/浩鼎/中裕新藥/潤泰精材/南山人壽/潤弘精密/潤泰創新
勤美,3150000,1300000,G1532,勤美
力麗力麗店,3100000,0,G1444,力麗/力麗店/山林水/力麒/力鵬
富旺國際,3100000,0,G6219,富旺國際
康和證券,3085000,0,G6016,康和證券
達麗,2900000,0,G6177,達麗
全坤建,2550000,0,G2509,全坤建
新光鋼,2500000,0,G2031,新光鋼
國產惠普,2500000,538661,G2504,國產/惠普/中保
華新精成科技,2450000,0,G1605,華新/精成科技/瀚宇博德/華東/和鑫/彩晶/華邦電/台灣精星/信昌電陶/新唐科技/九齊科技/華新科
敏成盛弘醫藥,2200000,1000000,G4431,敏成/盛弘醫藥
台泥中橡,2130000,300000,G1101,台泥/中橡
楠梓電,2000000,0,G2316,楠梓電
富味鄉,2000000,0,G1260,富味鄉
台灣農林,2000000,0,G2913,台灣農林
台玻,2000000,0,G1802,台玻
國揚實業漢來美食,2000000,300000,G2505,國揚實業/漢來美食
健策,2000000,0,G3653,健策
所羅門,2000000,100000,G2359,所羅門
憶聲電子,2000000,0,G3024,憶聲電子
嘉泥,2000000,0,G1103,嘉泥
佳世達瑞鼎科技,1850000,0,G2352,佳世達/瑞鼎科技/達方電子/明基材料/隆達/明基醫/達興材料/拍檔/達運/友達
隴華電子三圓,1700000,100000,G2424,隴華電子/三圓
台灣百和百和興業-KY,1700000,0,G9938,台灣百和/百和興業-KY
