870,侯友宜,111年新北市市長選舉,首次申報,1111016,交通旅運支出,中租汽車租賃股份有限公司,27998148,0.00,4.00,,,,國道通行費,金錢,臺北市內湖區****,,否,,,,,,,
189,張淑惠,111年新北市議員選舉,首次申報,1110829,雜支支出,中國信託商業銀行,03077208,0.00,30.00,,,,匯款手續費,金錢,,,否,,,,,,,
13,王景弘,111年新北市議員選舉,首次申報,1110818,雜支支出,中國信託商業銀行,03077208,0.00,30.00,,,,捐款金流、匯款手續費,金錢,臺北市南港區****,(02)*****,否,,,,,,,
14,王景弘,111年新北市議員選舉,首次申報,1110818,雜支支出,中國信託商業銀行,03077208,0.00,30.00,,,,捐款金流、匯款手續費,金錢,臺北市南港區****,(02)*****,否,,,,,,,
25,王景弘,111年新北市議員選舉,首次申報,1110831,雜支支出,中國信託商業銀行,03077208,0.00,12.00,,,,捐款金流、匯款手續費,金錢,臺北市南港區****,(02)*****,否,,,,,,,
28,王景弘,111年新北市議員選舉,首次申報,1110902,雜支支出,中國信託商業銀行,03077208,0.00,15.00,,,,捐款金流、匯款手續費,金錢,臺北市南港區****,(02)*****,否,,,,,,,
30,王景弘,111年新北市議員選舉,首次申報,1110905,雜支支出,中國信託商業銀行,03077208,0.00,15.00,,,,捐款金流、匯款手續費,金錢,臺北市南港區****,(02)*****,否,,,,,,,
44,王景弘,111年新北市議員選舉,首次申報,1110920,雜支支出,中國信託商業銀行,03077208,0.00,15.00,,,,捐款金流、匯款手續費,金錢,臺北市南港區****,(02)*****,否,,,,,,,
45,王景弘,111年新北市議員選舉,首次申報,1110920,雜支支出,中國信託商業銀行,03077208,0.00,12.00,,,,捐款金流、匯款手續費,金錢,臺北市南港區****,(02)*****,否,,,,,,,
48,王景弘,111年新北市議員選舉,首次申報,1111005,雜支支出,中國信託商業銀行,03077208,0.00,15.00,,,,捐款金流、匯款手續費,金錢,臺北市南港區****,(02)*****,否,,,,,,,
49,王景弘,111年新北市議員選舉,首次申報,1111005,雜支支出,中國信託商業銀行,03077208,0.00,15.00,,,,捐款金流、匯款手續費,金錢,臺北市南港區****,(02)*****,否,,,,,,,
52,王景弘,111年新北市議員選舉,首次申報,1111006,雜支支出,中國信託商業銀行,03077208,0.00,15.00,,,,捐款金流、匯款手續費,金錢,臺北市南港區****,(02)*****,否,,,,,,,
61,王景弘,111年新北市議員選舉,首次申報,1111021,雜支支出,中國信託商業銀行,03077208,0.00,15.00,,,,捐款金流、匯款手續費,金錢,臺北市南港區****,(02)*****,否,,,,,,,
65,王景弘,111年新北市議員選舉,首次申報,1111023,雜支支出,中國信託商業銀行,03077208,0.00,15.00,,,,捐款金流、匯款手續費,金錢,臺北市南港區****,(02)*****,否,,,,,,,
72,王景弘,111年新北市議員選舉,首次申報,1111025,雜支支出,中國信託商業銀行,03077208,0.00,15.00,,,,捐款金流、匯款手續費,金錢,臺北市南港區****,(02)*****,否,,,,,,,
73,王景弘,111年新北市議員選舉,首次申報,1111025,雜支支出,中國信託商業銀行,03077208,0.00,15.00,,,,捐款金流、匯款手續費,金錢,臺北市南港區****,(02)*****,否,,,,,,,
82,王景弘,111年新北市議員選舉,首次申報,1111102,雜支支出,中國信託商業銀行,03077208,0.00,15.00,,,,捐款金流、匯款手續費,金錢,臺北市南港區****,(02)*****,否,,,,,,,
83,王景弘,111年新北市議員選舉,首次申報,1111102,雜支支出,中國信託商業銀行,03077208,0.00,15.00,,,,捐款金流、匯款手續費,金錢,臺北市南港區****,(02)*****,否,,,,,,,
91,王景弘,111年新北市議員選舉,首次申報,1111111,雜支支出,中國信託商業銀行,03077208,0.00,15.00,,,,捐款金流、匯款手續費,金錢,臺北市南港區****,(02)*****,否,,,,,,,
95,王景弘,111年新北市議員選舉,首次申報,1111124,雜支支出,中國信託商業銀行,03077208,0.00,15.00,,,,捐款金流、匯款手續費,金錢,臺北市南港區****,(02)*****,否,,,,,,,
149,徐小媚,111年臺中市議員選舉,首次申報,1110914,雜支支出,中國信託商業銀行股份有限公司,03077208,0.00,15.00,,,,跨行轉帳手續費,金錢,臺北市南港區****,,否,,,,,,,
165,徐小媚,111年臺中市議員選舉,首次申報,1110921,雜支支出,中國信託商業銀行股份有限公司,03077208,0.00,15.00,,,,跨行轉帳手續費,金錢,臺北市南港區****,,否,,,,,,,
152,耿葳,111年臺北市議員選舉,首次申報,1110726,租用宣傳車輛支出,中租汽車租賃股份有限公司,27998148,0.00,8500.00,,,,租用宣傳車輛費用,金錢,臺北市內湖區****,,否,,,,,,,
154,耿葳,111年臺北市議員選舉,首次申報,1110727,租用宣傳車輛支出,中租汽車租賃股份有限公司,27998148,0.00,1500.00,,,,租用宣傳車輛費用,金錢,臺北市內湖區****,,否,,,,,,,
158,耿葳,111年臺北市議員選舉,首次申報,1110729,租用宣傳車輛支出,中租汽車租賃股份有限公司,27998148,0.00,3400.00,,,,租用宣傳車輛費用,金錢,臺北市內湖區****,,否,,,,,,,
179,耿葳,111年臺北市議員選舉,首次申報,1110804,租用宣傳車輛支出,中租汽車租賃股份有限公司,27998148,0.00,8500.00,,,,租用宣傳車輛費用,金錢,臺北市內湖區****,,否,,,,,,,
198,耿葳,111年臺北市議員選舉,首次申報,1110810,租用宣傳車輛支出,中租汽車租賃股份有限公司,27998148,0.00,5100.00,,,,租用宣傳車輛費用,金錢,臺北市內湖區****,,否,,,,,,,
199,耿葳,111年臺北市議員選舉,首次申報,1110812,租用宣傳車輛支出,中租汽車租賃股份有限公司,27998148,0.00,6800.00,,,,租用宣傳車輛費用,金錢,臺北市內湖區****,,否,,,,,,,
56,曾之婕,111年臺南市議員選舉,首次申報,1111003,雜支支出,中國信託產險,27938888,0.00,700.00,,,,交通指揮保險費,金錢,臺北市中正區****,,否,,,,,,,
512,陳麗珍,111年高雄市議員選舉,首次申報,1111022,集會支出,中國信託產物保險股份有限公司,27938888,0.00,9902.00,,,,其他與集會有關之費用(競選總部成立大會公共意外責任險保險費),金錢,臺北市中正區****,,否,,,,,,,
213,李世斌,111年屏東縣議員選舉,首次申報,1111108,集會支出,中國信託產物保險股份有限公司,27938888,0.00,5896.00,,,,競總成立公共意外責任險-中國信託產物保險(股),金錢,臺北市中正區****,02-2*****,否,,,,,,,
35,李明哲,111年雲林縣議員選舉,首次申報,1111121,集會支出,中國信託產物保險股份有限公司,27938888,0.00,32208.00,,,,其他與集會有關之費用,金錢,臺北市中正區****,,否,,,,,,,
1332,王惠美,111年彰化縣縣長選舉,首次申報,1111102,雜支支出,中國信託產險,27938888,0.00,34240.00,,,,保險費用,金錢,臺北市中正區****,,否,,,,,,,
1407,王惠美,111年彰化縣縣長選舉,首次申報,1111109,雜支支出,中國信託產險,27938888,0.00,966.00,,,,保險費用,金錢,臺北市中正區****,,否,,,,,,,
1911,王惠美,111年彰化縣縣長選舉,首次申報,1111121,集會支出,中國信託產險,27938888,0.00,71212.00,,,,活動場地險,金錢,臺北市中正區****,,否,,,,,,,
1912,王惠美,111年彰化縣縣長選舉,首次申報,1111121,集會支出,中國信託產險,27938888,0.00,71212.00,,,,其他與集會有關之費用,金錢,臺北市中正區****,,否,,,,,,,
2143,王惠美,111年彰化縣縣長選舉,首次申報,1111129,集會支出,中國信託產險,27938888,0.00,8086.00,,,,活動場地險,金錢,臺北市中正區****,,否,,,,,,,
